id_equipe,equipe,interno_prf
1,GPT SERRA,sim
2,UOP SERRA,sim
3,BDI SERRA,sim
4,DELEGACIA DE SERRA,sim
5,COE / NOE,sim
6,GFT VIANA,sim
7,GFT SERRA,sim
8,GFT GUARAPARI,sim
9,GFT LINHARES,sim
10,GOC - GRUPO DE OPERAÇÕES COM CÃES,sim
11,GPT VIANA,sim
12,GPT GUARAPARI,sim
13,GPT LINHARES,sim
14,GRM,sim
15,PRF - OUTROS ESTADOS,sim
16,SEOP,sim
17,UOP BREJETUBA ,sim
18,UOP GUARAPARI,sim
19,UOP LINHARES,sim
20,UOP SAFRA,sim
21,UOP SÃO MATEUS,sim
22,UOP VIANA,sim
23,GPT SEDE,sim
24,GCM ARACRUZ,não
25,GCM SERRA,não
26,CGM VITÓRIA,não
27,POLÍCIA CIVIL,não
28,POLÍCIA FEDERAL,não
29,POLÍCIA MILITAR,não
30,RECEITA ESTADUAL,não
31,GFT SEDE,sim
32,CONSELHO TUTELAR,não
33,GCM VILA VELHA,não
